Date,Open,High,Low,Close,Adj Close,Volume
2018-12-30,259.690002,262.890015,248.089996,249.910004,240.161926,7102400
2019-01-06,249.919998,256.940002,241.179993,256.640015,246.629395,9245900
2019-01-13,255.990005,266.850006,253.690002,266.119995,255.739609,7090700
2019-01-20,265.619995,272.980011,262.380005,272.679993,262.043732,6403700
2019-01-27,270.910004,305.989990,267.600006,303.290009,291.459778,13091300
2019-02-03,303.559998,311.600006,300.329987,304.250000,292.382294,7147700
2019-02-10,304.630005,311.839996,299.609985,311.579987,299.426331,5192700
2019-02-17,311.000000,317.209991,308.859985,316.790009,304.433105,4385900
2019-02-24,317.640015,317.989990,297.700012,307.679993,295.678497,10672000
2019-03-03,307.619995,308.989990,286.820007,295.040009,283.531586,11023800
2019-03-10,295.209991,306.670013,292.579987,303.000000,291.181061,6167300
2019-03-17,304.000000,312.410004,300.829987,301.510010,290.510040,5629500
2019-03-24,301.570007,301.570007,279.220001,286.980011,276.510223,9172500
2019-03-31,289.799988,293.559998,284.570007,293.309998,282.609253,5359400
2019-04-07,293.140015,293.649994,249.149994,252.850006,243.625290,12834300
2019-04-14,254.600006,267.489990,227.160004,239.619995,230.877945,21530400
2019-04-21,240.740005,266.769989,239.070007,266.399994,256.680969,17644200
2019-04-28,266.700012,268.170013,255.429993,261.700012,252.152420,9280900
2019-05-05,257.250000,269.820007,256.100006,268.309998,258.521271,7326800
2019-05-12,264.489990,269.440002,257.500000,265.070007,255.399536,8243200
2019-05-19,264.989990,280.250000,262.579987,277.250000,267.135132,8219100
2019-05-26,278.119995,279.769989,269.440002,277.980011,267.838470,6464500
2019-06-02,277.429993,282.820007,273.799988,278.130005,267.983002,8470100
2019-06-09,280.000000,286.950012,277.929993,285.320007,275.705566,6487300
2019-06-16,285.450012,294.829987,285.190002,293.760010,283.861115,7521000
2019-06-23,293.790009,294.859985,275.540009,282.209991,272.700287,8494300
2019-06-30,283.899994,288.309998,277.149994,284.059998,274.487976,4380800
2019-07-07,283.480011,312.480011,281.399994,310.480011,300.017761,7624300
2019-07-14,309.700012,310.779999,297.010010,302.119995,291.939423,6287100
2019-07-21,301.739990,303.760010,280.059998,299.980011,289.871521,8575600
2019-07-28,299.700012,302.390015,288.320007,290.570007,280.778625,5491400
2019-08-04,287.549988,291.299988,279.540009,287.329987,277.647766,5951000
2019-08-11,285.500000,288.980011,270.959991,275.540009,266.255066,5686800
2019-08-18,278.000000,278.809998,259.290009,260.380005,251.605957,6712800
2019-08-25,262.359985,264.149994,250.190002,261.519989,252.707504,7305800
2019-09-01,259.809998,261.959991,248.690002,249.380005,240.976624,7454000
2019-09-08,250.809998,256.579987,247.610001,253.080002,244.551910,8786000
2019-09-15,252.500000,260.279999,251.000000,252.089996,244.379242,8925200
2019-09-22,250.850006,252.970001,235.449997,237.690002,230.419724,8125200
2019-09-29,237.220001,242.369995,235.119995,241.789993,234.394302,6591400
2019-10-06,241.750000,244.919998,234.910004,237.550003,230.283997,6463300
2019-10-13,237.610001,251.740005,234.690002,249.399994,241.771530,8654200
2019-10-20,250.929993,272.959991,249.490005,263.070007,255.023438,10936800
2019-10-27,264.600006,275.709991,263.010010,270.750000,262.468536,7409700
2019-11-03,272.399994,283.440002,266.529999,282.089996,273.461639,7027300
2019-11-10,279.779999,298.619995,277.730011,297.820007,288.710510,7450000
2019-11-17,297.600006,307.380005,288.049988,291.829987,282.903748,8363100
2019-11-24,291.000000,294.290009,286.850006,288.660004,279.830658,5618100
2019-12-01,289.619995,292.230011,280.850006,285.269989,276.544373,5839600
2019-12-08,285.429993,288.619995,279.649994,284.119995,276.201599,5230000
2019-12-15,285.700012,303.320007,285.019989,303.000000,294.555450,8998300
2019-12-22,303.100006,306.600006,300.440002,306.420013,297.880157,2730800
